Videos,Shot_Boundary,Duration,Entropy,Average_Intensities,Average_Intensities_30,Average_Intensities_60,Optical_Flow,Funny,Average_Memorability,Topics,Average_Hue,Exciting,Median_Hue,Sentiments,Entropy,Optical_Flow,Exciting,Funny,Average_Memorability,Language,Topics,Average_Hue,Median_Hue,Sentiments,BPM,A,B,C,D,E,F,G,Major/Minor,Sharp/Flat,Effectiveness,,,
_hnOCUkbix0,9,63,0.591672779,0.526383863,0.661732929,0.688338897,765806.0237,0.6,0.726694876,10,"[0.00392156862745098, 0.00392156862745098, 0.00392156862745098]",0.8,"[0.00392156862745098, 0.00392156862745098, 0.00392156862745098]",4,0.591672779,765806.0237,0.8,0.6,0.726694876,1,10,"[0.00392156862745098, 0.00392156862745098, 0.00392156862745098]","[0.00392156862745098, 0.00392156862745098, 0.00392156862745098]",4,104,0,0,1,0,0,0,0,1,0,5,,,
_I1UfeCH3SY,29,40,0.848548178,0.568558815,0.538719182,0.527523994,2124203.028,0.4,0.724793448,17,"[0.7700137109299166, 0.7696004416618133, 0.7692343315213876]",1,"[0.8068336245389244, 0.8073383808969132, 0.8069112793632304]",9,0.848548178,2124203.028,1,0.4,0.724793448,1,17,"[0.7700137109299166, 0.7696004416618133, 0.7692343315213876]","[0.8068336245389244, 0.8073383808969132, 0.8069112793632304]",9,120,0,0,0,0,0,1,0,0,0,5,,,
_IYJO-Ik7Pg,14,30,0.996791632,0.367662207,0.49149593,0.471728831,362724.5951,1,0.725414157,2,"[0.0015479876160990713, 0.0015479876160990713, 0.0015479876160990713]",0.8,"[0.0015479876160990713, 0.0015479876160990713, 0.0015479876160990713]",6,0.996791632,362724.5951,0.8,1,0.725414157,1,2,"[0.0015479876160990713, 0.0015479876160990713, 0.0015479876160990713]","[0.0015479876160990713, 0.0015479876160990713, 0.0015479876160990713]",6,112,1,0,0,0,0,0,0,0,0,5,,,
_KimnwIfhXc,16,32,1,0.569671159,0.595240567,0.571117236,1392633.485,0.6,0.725095026,8,"[0.5550163398692809, 0.5550451468466174, 0.5547146889058654]",0.2,"[0.5451998981410746, 0.5454036159918513, 0.5459638400814871]",9,1,1392633.485,0.2,0.6,0.725095026,1,8,"[0.5550163398692809, 0.5550451468466174, 0.5547146889058654]","[0.5451998981410746, 0.5454036159918513, 0.5459638400814871]",9,91,0,0,0,0,0,0,1,1,0,3,,,
_Kmh4BbJPz8,18,31,0.981152234,0.312548105,0.399860139,0.363750219,1587417.48,0.4,0.724471735,34,"[0.0667307962611568, 0.07250228406774897, 0.0830174291938998]",0.4,"[0.05825426944971537, 0.06234450769555134, 0.06818469323213155]",21,0.981152234,1587417.48,0.4,0.4,0.724471735,1,34,"[0.0667307962611568, 0.07250228406774897, 0.0830174291938998]","[0.05825426944971537, 0.06234450769555134, 0.06818469323213155]",21,120,1,0,0,0,0,0,0,1,1,3,,,
_krbxXawoAU,25,90,0.852405179,0.361638917,0.423577662,0.402186579,1235947.524,0.2,0.723972923,33,"[0.206461994674413, 0.20825320745582168, 0.21013891914790583]",0.2,"[0.18790849673202614, 0.18813362381989834, 0.1879448075526507]",3,0.852405179,1235947.524,0.2,0.2,0.723972923,1,33,"[0.206461994674413, 0.20825320745582168, 0.21013891914790583]","[0.18790849673202614, 0.18813362381989834, 0.1879448075526507]",3,111,0,0,0,0,0,0,1,0,1,4,,,
_lDncgUwor4,32,77,0.979339926,0.568707906,0.562641565,0.563129947,1694036.592,0,0.724464037,32,"[0.6122636888956974, 0.612131310423475, 0.612158713745915]",0.4,"[0.6523386437908496, 0.6519812091503269, 0.6516748366013072]",4,0.979339926,1694036.592,0.4,0,0.724464037,1,32,"[0.6122636888956974, 0.612131310423475, 0.612158713745915]","[0.6523386437908496, 0.6519812091503269, 0.6516748366013072]",4,120,0,0,0,0,1,0,0,1,0,5,,,
_NJKQkQu3NI,22,30,0.836640742,0.467059121,0.36840981,0.432786318,1372804.394,0.8,0.724734481,21,"[0.5849366013071896, 0.5813022875816993, 0.5775208605664485]",1,"[0.611921568627451, 0.6125751633986929, 0.6072418300653595]",4,0.836640742,1372804.394,1,0.8,0.724734481,1,21,"[0.5849366013071896, 0.5813022875816993, 0.5775208605664485]","[0.611921568627451, 0.6125751633986929, 0.6072418300653595]",4,111,1,0,0,0,0,0,0,0,0,4,,,
_nufc37CHso,58,70,0.660962335,0.244399905,0.415339631,0.397932793,520344.9629,0.2,0.724716092,25,"[0.0007002801120448179, 0.0007002801120448179, 0.0007002801120448179]",0.8,"[0.0007002801120448179, 0.0007002801120448179, 0.0007002801120448179]",21,0.660962335,520344.9629,0.8,0.2,0.724716092,1,25,"[0.0007002801120448179, 0.0007002801120448179, 0.0007002801120448179]","[0.0007002801120448179, 0.0007002801120448179, 0.0007002801120448179]",21,151,0,0,0,1,0,0,0,0,0,5,,,
_oACRt-Qp-s,31,62,1,0.26568657,0.349816061,0.326911658,2004657.151,1,0.723971919,1,"[0.2085089649659146, 0.20907857632300222, 0.21009478881158222]",0.8,"[0.1873919460257221, 0.18758169934640523, 0.1879717478389205]",1,1,2004657.151,0.8,1,0.723971919,1,1,"[0.2085089649659146, 0.20907857632300222, 0.21009478881158222]","[0.1873919460257221, 0.18758169934640523, 0.1879717478389205]",1,111,1,0,0,0,0,0,0,0,1,3,,,
_r7yKaDxGvc,3,29,0.479832024,0.303823351,0.299755825,0.382850713,943540.4254,0.2,0.724686199,17,"[0.10420844474153296, 0.10423471850861553, 0.10438586229946525]",0.6,"[0.11176470588235295, 0.11178698752228164, 0.11205436720142603]",3,0.479832024,943540.4254,0.6,0.2,0.724686199,1,17,"[0.10420844474153296, 0.10423471850861553, 0.10438586229946525]","[0.11176470588235295, 0.11178698752228164, 0.11205436720142603]",3,111,0,0,1,0,0,0,0,0,1,1,,,
_SsccRkLLzU,2,30,0.353359335,0.318609464,0.428847351,0.361307929,1690928.189,0.2,0.724357319,26,"[0.1463980392156863, 0.1488269063180828, 0.15299651416121998]",0.8,"[0.13244444444444445, 0.13351633986928105, 0.136]",3,0.353359335,1690928.189,0.8,0.2,0.724357319,1,26,"[0.1463980392156863, 0.1488269063180828, 0.15299651416121998]","[0.13244444444444445, 0.13351633986928105, 0.136]",3,119,0,0,1,0,0,0,0,0,0,5,,,
_TBd-UCwVAY,75,116,0.937110013,0.462685661,0.490315132,0.480354853,1515727.209,0.2,0.725027283,32,"[0.5536022909740599, 0.5534803780220279, 0.5531035009159372]",0.4,"[0.613867969333062, 0.6130198792319695, 0.6120021711106588]",4,0.937110013,1515727.209,0.4,0.2,0.725027283,1,32,"[0.5536022909740599, 0.5534803780220279, 0.5531035009159372]","[0.613867969333062, 0.6130198792319695, 0.6120021711106588]",4,150,0,0,1,0,0,0,0,1,0,5,,,
_U_4J_e6tQM,46,65,0.871683617,0.179236667,0.236814559,0.219187112,1765675.586,0,0.723110091,21,"[0.2009983031674208, 0.2012346290011732, 0.20164150222054636]",1,"[0.17620663650075413, 0.17804172951231775, 0.17965057817998994]",1,0.871683617,1765675.586,1,0,0.723110091,1,21,"[0.2009983031674208, 0.2012346290011732, 0.20164150222054636]","[0.17620663650075413, 0.17804172951231775, 0.17965057817998994]",1,136,0,0,0,0,0,1,0,0,0,5,,,
_UKLncvGxQ8,5,15,0.918295834,0.518394552,0.490868212,0.516834348,1803260.919,0.2,0.725196707,1,"[0.5025298380221653, 0.5016377166808753, 0.5005598181301507]",0.4,"[0.5634271099744245, 0.5629156010230179, 0.561466325660699]",14,0.918295834,1803260.919,0.4,0.2,0.725196707,1,1,"[0.5025298380221653, 0.5016377166808753, 0.5005598181301507]","[0.5634271099744245, 0.5629156010230179, 0.561466325660699]",14,144,0,0,0,0,0,0,1,1,1,1,,,
_uQOchrK7NA,28,75,0.953197173,0.276264277,0.303555484,0.33360169,943593.6323,1,0.724196825,12,"[0.05737123275236026, 0.0573699391793755, 0.05736953068264349]",0.6,"[0.05869281045751634, 0.05869281045751634, 0.05869281045751634]",6,0.953197173,943593.6323,0.6,1,0.724196825,1,12,"[0.05737123275236026, 0.0573699391793755, 0.05736953068264349]","[0.05869281045751634, 0.05869281045751634, 0.05869281045751634]",6,123,0,0,0,0,0,0,1,0,0,3,,,
_UU29bZjgz4,22,35,0.951762676,0.120079623,0.161595584,0.158729761,1103945.263,0.2,0.722927418,20,"[0.0, 0.0, 0.0]",0.6,"[0.0, 0.0, 0.0]",8,0.951762676,1103945.263,0.6,0.2,0.722927418,-1,20,"[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]",8,93,0,0,1,0,0,0,0,0,0,3,,,
_wZSB0b9OCA,14,30,0.996791632,0.424417595,0.464502968,0.443769147,1306384.034,1,0.724732065,25,"[0.47032055646332604, 0.4696551606753814, 0.46830150462962955]",0.6,"[0.4656590413943355, 0.46555010893246185, 0.4632352941176471]",1,0.996791632,1306384.034,0.6,1,0.724732065,-1,25,"[0.47032055646332604, 0.4696551606753814, 0.46830150462962955]","[0.4656590413943355, 0.46555010893246185, 0.4632352941176471]",1,105,0,1,0,0,0,0,0,1,0,4,,,
_XOa7zVqxA4,52,90,0.982474087,0.310708882,0.339758244,0.334645981,1511711.373,0.2,0.724531881,17,"[0.3297306380113774, 0.3290291394335512, 0.3280992230997339]",0.4,"[0.2877904865649964, 0.28649237472766886, 0.28430464778503994]",18,0.982474087,1511711.373,0.4,0.2,0.724531881,1,17,"[0.3297306380113774, 0.3290291394335512, 0.3280992230997339]","[0.2877904865649964, 0.28649237472766886, 0.28430464778503994]",18,150,1,0,0,0,0,0,0,0,0,5,,,
_Zgi2KNtWVY,30,50,0.970950594,0.358834417,0.382493897,0.377067038,1642163.98,0.4,0.724730947,26,"[0.3053760130718953, 0.3053142156862745, 0.30447228758169925]",0.4,"[0.28185098039215684, 0.2828392156862745, 0.2826196078431372]",6,0.970950594,1642163.98,0.4,0.4,0.724730947,1,26,"[0.3053760130718953, 0.3053142156862745, 0.30447228758169925]","[0.28185098039215684, 0.2828392156862745, 0.2826196078431372]",6,89,0,0,0,1,0,0,0,0,0,3,,,
_ZILy1qRZTU,16,30,0.996791632,0.307073191,0.341364024,0.313629474,1237409.357,0.6,0.724755909,7,"[0.3146149380804954, 0.3546987874097006, 0.35140565875472995]",0.6,"[0.32396800825593397, 0.347703818369453, 0.346671826625387]",14,0.996791632,1237409.357,0.6,0.6,0.724755909,1,7,"[0.3146149380804954, 0.3546987874097006, 0.35140565875472995]","[0.32396800825593397, 0.347703818369453, 0.346671826625387]",14,114,0,0,0,1,0,0,0,1,1,5,,,
-1yXdOufzKE,6,30,0.721928095,0.286038622,0.278330485,0.327759671,837852.7142,0.2,0.72335326,25,"[0.42138330610021807, 0.42330637254901987, 0.42645747095134356]",1,"[0.450479302832244, 0.45302832244008717, 0.45721132897603484]",5,0.721928095,837852.7142,1,0.2,0.72335326,1,25,"[0.42138330610021807, 0.42330637254901987, 0.42645747095134356]","[0.450479302832244, 0.45302832244008717, 0.45721132897603484]",5,106,0,0,1,0,0,0,0,0,0,5,,,
-44_igsZtgU,53,118,0.992527016,0.112898298,0.157150004,0.149416914,1628643.835,0.2,0.72298963,26,"[0.0, 0.0, 0.0]",1,"[0.0, 0.0, 0.0]",4,0.992527016,1628643.835,1,0.2,0.72298963,1,26,"[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]",4,118,1,0,0,0,0,0,0,1,0,5,,,
-7ERMwnoxSI,47,60,0.754034056,0.122469202,0.258500782,0.216446373,593191.6743,0.2,0.723836693,33,"[0.0, 0.0, 0.0]",0.4,"[0.0, 0.0, 0.0]",11,0.754034056,593191.6743,0.4,0.2,0.723836693,1,33,"[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]",11,89,0,0,0,1,0,0,0,0,0,5,,,
-c7Ca2CY6x8,6,39,0.619382195,0.0425383,0.100708156,0.098096445,406428.2974,0.4,0.722455952,22,"[0.0, 0.0, 0.0]",0.2,"[0.0, 0.0, 0.0]",9,0.619382195,406428.2974,0.2,0.4,0.722455952,0,22,"[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]",9,149,0,0,0,1,0,0,0,1,0,2,,,
0-U4Yr9UNBo,34,60,0.987137774,0.414858029,0.366030583,0.404506027,979101.6212,0.8,0.725063704,10,"[0.3721779918864095, 0.3730725152129815, 0.3738400101419876]",0.8,"[0.36070317782285327, 0.3603651115618661, 0.3583908045977012]",6,0.987137774,979101.6212,0.8,0.8,0.725063704,1,10,"[0.3721779918864095, 0.3730725152129815, 0.3738400101419876]","[0.36070317782285327, 0.3603651115618661, 0.3583908045977012]",6,117,0,0,0,1,0,0,0,1,0,5,,,
064ipuBiWDg,25,79,0.900485433,0.320335382,0.279870117,0.285630749,881719.6465,0.2,0.72496309,38,"[0.35911866311668517, 0.3618942636276168, 0.3641876306360108]",0.4,"[0.37366378023290536, 0.3761321787598288, 0.380501642281278]",4,0.900485433,881719.6465,0.4,0.2,0.72496309,1,38,"[0.35911866311668517, 0.3618942636276168, 0.3641876306360108]","[0.37366378023290536, 0.3761321787598288, 0.380501642281278]",4,88,1,0,0,0,0,0,0,0,0,5,,,
06WUc7y8vak,21,30,0.881290899,0.536364604,0.563398634,0.557734382,970678.0845,0.4,0.725321492,21,"[0.590801851851852, 0.5951416666666667, 0.5971787581699349]",0.4,"[0.5961830065359477, 0.5963137254901961, 0.5980392156862745]",30,0.881290899,970678.0845,0.4,0.4,0.725321492,1,21,"[0.590801851851852, 0.5951416666666667, 0.5971787581699349]","[0.5961830065359477, 0.5963137254901961, 0.5980392156862745]",30,123,0,0,0,1,0,0,0,1,0,3,,,
0A_35Z4eQfg,30,51,0.977417818,0.165248706,0.399310889,0.291004584,795617.6131,0.2,0.725251842,21,"[0.0007689350249903883, 0.0007689350249903883, 0.0007689350249903883]",1,"[0.0007689350249903883, 0.0007689350249903883, 0.0007689350249903883]",5,0.977417818,795617.6131,1,0.2,0.725251842,1,21,"[0.0007689350249903883, 0.0007689350249903883, 0.0007689350249903883]","[0.0007689350249903883, 0.0007689350249903883, 0.0007689350249903883]",5,129,1,0,0,0,0,0,0,1,0,4,,,
0A43tb18T8Y,15,32,0.997180399,0.455443489,0.32619814,0.397199057,1639075.612,1,0.725081739,8,"[0.7400631042347496, 0.7392494298066449, 0.7418240230119828]",1,"[0.7452001633986928, 0.7474060457516339, 0.7519403594771241]",6,0.997180399,1639075.612,1,1,0.725081739,1,8,"[0.7400631042347496, 0.7392494298066449, 0.7418240230119828]","[0.7452001633986928, 0.7474060457516339, 0.7519403594771241]",6,143,0,0,0,1,0,0,0,0,0,3,,,
0AHGLGQgAn8,13,30,0.987137774,0.250506671,0.236974953,0.245643659,2363540.673,0.2,0.723417662,33,"[0.25225264447884416, 0.25598635835913314, 0.25686258384932925]",0.4,"[0.24251805985552116, 0.2413312693498452, 0.24138286893704852]",3,0.987137774,2363540.673,0.4,0.2,0.723417662,1,33,"[0.25225264447884416, 0.25598635835913314, 0.25686258384932925]","[0.24251805985552116, 0.2413312693498452, 0.24138286893704852]",3,90,0,0,0,0,1,0,0,1,0,5,,,
0B79RkBxSgU,24,31,0.770629069,0.509527584,0.520705985,0.464340216,1331424.404,0.6,0.724647514,8,"[0.6376555599717365, 0.6394003378378377, 0.641773869457693]",0.4,"[0.6454160042395337, 0.6460784313725491, 0.6481717011128776]",14,0.770629069,1331424.404,0.4,0.6,0.724647514,1,8,"[0.6376555599717365, 0.6394003378378377, 0.641773869457693]","[0.6454160042395337, 0.6460784313725491, 0.6481717011128776]",14,123,1,0,0,0,0,0,0,0,1,5,,,
0cP-qr1JUBI,82,94,0.550984443,0.119398519,0.235240969,0.196975508,1009394.85,0.4,0.72401192,19,"[0.00806093871164285, 0.008040583111775784, 0.00797633142239947]",0.8,"[0.008457959454968427, 0.008516118311731472, 0.00847457627118644]",1,0.550984443,1009394.85,0.8,0.4,0.72401192,1,19,"[0.00806093871164285, 0.008040583111775784, 0.00797633142239947]","[0.008457959454968427, 0.008516118311731472, 0.00847457627118644]",1,144,0,1,0,0,0,0,0,0,0,4,,,
0DuFujGCswU,11,30,0.948078244,0.40712562,0.491520347,0.46491766,840913.7866,0.2,0.7242226,25,"[0.45011262027959315, 0.449897421931736, 0.45055912990196056]",0.8,"[0.43970588235294117, 0.43834422657952066, 0.4353213507625272]",25,0.948078244,840913.7866,0.8,0.2,0.7242226,1,25,"[0.45011262027959315, 0.449897421931736, 0.45055912990196056]","[0.43970588235294117, 0.43834422657952066, 0.4353213507625272]",25,79,0,0,0,0,0,0,1,1,0,3,,,
0eN9KP6lOZs,44,60,0.836640742,0.283122558,0.334202671,0.316036548,1356234.705,1,0.724884449,1,"[0.09779459159354355, 0.19919948181851008, 0.20964456270537685]",0.6,"[0.07448813779655508, 0.11203553244502222, 0.12312858845195537]",14,0.836640742,1356234.705,0.6,1,0.724884449,1,1,"[0.09779459159354355, 0.19919948181851008, 0.20964456270537685]","[0.07448813779655508, 0.11203553244502222, 0.12312858845195537]",14,122,0,0,0,0,0,1,0,1,0,4,,,
0etzTTWyISw,36,64,0.988699408,0.292251391,0.552761929,0.42841569,1087066.213,0.6,0.725256521,20,"[0.0, 0.0, 0.0]",0.6,"[0.0, 0.0, 0.0]",9,0.988699408,1087066.213,0.6,0.6,0.725256521,-1,20,"[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]",9,136,0,0,0,0,0,1,0,1,0,5,,,
0G7g9lw20l4,19,60,0.90071968,0.441943499,0.438639598,0.442839339,2178052.032,0.4,0.725064355,19,"[0.3397211952751305, 0.3389511903457845, 0.3371554934823092]",0.8,"[0.28007448789571693, 0.28122466863840506, 0.28189286887939535]",12,0.90071968,2178052.032,0.8,0.4,0.725064355,1,19,"[0.3397211952751305, 0.3389511903457845, 0.3371554934823092]","[0.28007448789571693, 0.28122466863840506, 0.28189286887939535]",12,78,0,0,0,0,0,1,0,1,0,3,,,
0gjRzLqXijQ,18,36,1,0.591157234,0.526505911,0.561301929,1495088.531,0.8,0.726339156,16,"[0.7435361309632891, 0.7405105063832385, 0.7347713181845948]",0.4,"[0.7890599230346345, 0.7862745098039216, 0.7834524463991204]",6,1,1495088.531,0.4,0.8,0.726339156,1,16,"[0.7435361309632891, 0.7405105063832385, 0.7347713181845948]","[0.7890599230346345, 0.7862745098039216, 0.7834524463991204]",6,144,0,0,0,0,0,0,1,0,0,4,,,
0K8lrVjT6fM,21,89,0.788248722,0.12906967,0.361578918,0.268362734,315292.3839,0.4,0.724015994,3,"[0.0, 0.0, 0.0]",0.2,"[0.0, 0.0, 0.0]",6,0.788248722,315292.3839,0.2,0.4,0.724015994,1,3,"[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]",6,108,0,0,1,0,0,0,0,0,0,1,,,
0KIqDAijbS8,10,40,0.811278124,0.363480872,0.30409242,0.379936969,1143568.544,0.8,0.726126571,2,"[0.3070368617744128, 0.30619725943182546, 0.3074104947259432]",0.6,"[0.2308289652494661, 0.22974179770918268, 0.22962531547272375]",9,0.811278124,1143568.544,0.6,0.8,0.726126571,1,2,"[0.3070368617744128, 0.30619725943182546, 0.3074104947259432]","[0.2308289652494661, 0.22974179770918268, 0.22962531547272375]",9,97,0,0,0,1,0,0,0,1,0,5,,,
0LcHFkXmCb8,7,109,0.343974514,0.352839164,0.387298145,0.328051607,435252.2903,0.6,0.724340288,8,"[0.44987073781718573, 0.44751375672818167, 0.4438204356497499]",0.4,"[0.4379397347174164, 0.4354887543252595, 0.43230968858131485]",6,0.343974514,435252.2903,0.4,0.6,0.724340288,1,8,"[0.44987073781718573, 0.44751375672818167, 0.4438204356497499]","[0.4379397347174164, 0.4354887543252595, 0.43230968858131485]",6,152,0,1,0,0,0,0,0,0,0,5,,,
0ljPuSfPbSw,33,70,0.997643296,0.675548887,0.683609488,0.684131203,1445610.091,0.8,0.72514175,19,"[0.8025236046122992, 0.8082473401292344, 0.8089974422534169]",0.8,"[0.8334670231729056, 0.839126559714795, 0.8398395721925134]",13,0.997643296,1445610.091,0.8,0.8,0.72514175,1,19,"[0.8025236046122992, 0.8082473401292344, 0.8089974422534169]","[0.8334670231729056, 0.839126559714795, 0.8398395721925134]",13,120,1,0,0,0,0,0,0,0,0,3,,,
0PgjcgqFYP4,6,30,0.721928095,0.155123877,0.221195898,0.235050886,424833.9723,0.4,0.723948005,32,"[0.001263616557734205, 0.001263616557734205, 0.001263616557734205]",0.2,"[0.001263616557734205, 0.001263616557734205, 0.001263616557734205]",4,0.721928095,424833.9723,0.2,0.4,0.723948005,1,32,"[0.001263616557734205, 0.001263616557734205, 0.001263616557734205]","[0.001263616557734205, 0.001263616557734205, 0.001263616557734205]",4,152,0,0,1,0,0,0,0,1,0,4,,,
