Video,Shot_Boundary,Video,Duration,Video,Entropy,Video,Average_Intensities_60,Video,Optical_Flow,Video,Funny,Video,Average_Memorability,Video,Language,Video,Topics,Video,Average_Intensities,Video,Average_Intensities_30,Video,Average_Hue,Video,Exciting,Video,Median_Hue,Video,Effectiveness,Video,Sentiments
Q4rR0BbTBPk,20.0,mcP_f1UEQVo,30,Q4rR0BbTBPk,0.9182958340544896,mcP_f1UEQVo,0.4201074408349007,HAIWK9IXpHg,1030755.9833596774,mcP_f1UEQVo,0.2,mcP_f1UEQVo,0.7251065803898705,xtJqw--DGl8,1.0,bqmzpwxDJ9s,9,mcP_f1UEQVo,0.3987310531307493,mcP_f1UEQVo,0.4537056481300764,mcP_f1UEQVo,"[0.4164596949891067, 0.4158240740740741, 0.41661088416848224]",mcP_f1UEQVo,0.4,mcP_f1UEQVo,"[0.42328976034858384, 0.4235729847494553, 0.4215904139433551]",mcP_f1UEQVo,5,-nYhixp7bXI,6
puDC_XSKRes,12.0,-nYhixp7bXI,30,puDC_XSKRes,0.9709505944546686,-nYhixp7bXI,0.420326269831886,qFTcch4BOgg,357850.8890966665,-nYhixp7bXI,1.0,-nYhixp7bXI,0.7244663437207541,qhbliUq0_r4,1.0,mcP_f1UEQVo,33,-nYhixp7bXI,0.4093596007224947,-nYhixp7bXI,0.3725290364242921,-nYhixp7bXI,"[0.6293657407407413, 0.6268958061002179, 0.6210667755991286]",-nYhixp7bXI,0.6,-nYhixp7bXI,"[0.7322875816993464, 0.7322091503267975, 0.7295163398692811]",-nYhixp7bXI,5,xtJqw--DGl8,3
vX6FXRgcKQc,37.0,xtJqw--DGl8,64,vX6FXRgcKQc,0.9669852958320848,xtJqw--DGl8,0.4539951522623194,F_M7zOew2Pc,984623.4378139998,xtJqw--DGl8,0.2,xtJqw--DGl8,0.7250034939497709,EIUSkKTUftU,1.0,-nYhixp7bXI,18,xtJqw--DGl8,0.2987629327143293,xtJqw--DGl8,0.5059869201733219,xtJqw--DGl8,"[0.0, 0.0, 0.0]",xtJqw--DGl8,0.8,xtJqw--DGl8,"[0.0, 0.0, 0.0]",xtJqw--DGl8,5,qhbliUq0_r4,3
rSTGOyDFPrU,23.0,qhbliUq0_r4,105,rSTGOyDFPrU,0.8238116333123173,qhbliUq0_r4,0.3364098388841704,Jtakqt3Jygk,1214178.8926233335,qhbliUq0_r4,0.2,qhbliUq0_r4,0.7237877879502639,QEDRDrV55q8,0.0,xtJqw--DGl8,33,qhbliUq0_r4,0.33303197082582464,qhbliUq0_r4,0.3293791343418236,qhbliUq0_r4,"[0.40932212840776333, 0.4088439076517807, 0.40763770844205877]",qhbliUq0_r4,0.4,qhbliUq0_r4,"[0.40980392156862744, 0.4092447625438008, 0.4082457317527771]",qhbliUq0_r4,5,EIUSkKTUftU,9
9go38MgZ4w8,1.0,EIUSkKTUftU,30,9go38MgZ4w8,0.13503620280212764,EIUSkKTUftU,0.3550259984989741,4h0Qvc6_MfQ,423678.61086666666,EIUSkKTUftU,0.6,EIUSkKTUftU,0.7251903295516968,5AP5zQrJRIg,1.0,qhbliUq0_r4,30,EIUSkKTUftU,0.43020742969511205,EIUSkKTUftU,0.3035266791280234,EIUSkKTUftU,"[0.5164970270515615, 0.5174543277959335, 0.5203505128903413]",EIUSkKTUftU,0.0,EIUSkKTUftU,"[0.5417755991285402, 0.5405228758169935, 0.5404684095860567]",EIUSkKTUftU,1,QEDRDrV55q8,1
intua_p4kE0,6.0,QEDRDrV55q8,33,intua_p4kE0,0.5293608652873644,QEDRDrV55q8,0.4726665920636862,Q4rR0BbTBPk,1322800.5357066663,QEDRDrV55q8,0.6,QEDRDrV55q8,0.724941611289978,DlB4hFTAxOo,0.0,EIUSkKTUftU,6,QEDRDrV55q8,0.4281429601851017,QEDRDrV55q8,0.4332467034323008,QEDRDrV55q8,"[0.0054375896700143474, 0.004017814442850311, 0.004715148254423719]",QEDRDrV55q8,0.4,QEDRDrV55q8,"[0.0032998565279770443, 0.0018173122907699667, 0.002247728359636537]",QEDRDrV55q8,1,5AP5zQrJRIg,8
hro4AdTYiTA,9.0,5AP5zQrJRIg,46,hro4AdTYiTA,0.8112781244591328,5AP5zQrJRIg,0.4844734140148767,z7HGLN8r84E,1485178.7071,5AP5zQrJRIg,0.0,5AP5zQrJRIg,0.7254335934465582,PsH4uuRT2w8,1.0,QEDRDrV55q8,2,5AP5zQrJRIg,0.3678787105119829,5AP5zQrJRIg,0.2940096773838604,5AP5zQrJRIg,"[0.0, 0.0, 0.0]",5AP5zQrJRIg,0.4,5AP5zQrJRIg,"[0.0, 0.0, 0.0]",5AP5zQrJRIg,3,DlB4hFTAxOo,9
15nAJorLmHY,8.0,DlB4hFTAxOo,68,15nAJorLmHY,0.6840384356390417,DlB4hFTAxOo,0.19399271847705388,puDC_XSKRes,908768.2802333331,DlB4hFTAxOo,0.4,DlB4hFTAxOo,0.723092200124965,sPneQzqhh4g,1.0,5AP5zQrJRIg,26,DlB4hFTAxOo,0.14428182194174274,DlB4hFTAxOo,0.19499574325568456,DlB4hFTAxOo,"[0.0419430988081507, 0.0419430988081507, 0.0419430988081507]",DlB4hFTAxOo,0.4,DlB4hFTAxOo,"[0.04152249134948097, 0.04152249134948097, 0.04152249134948097]",DlB4hFTAxOo,3,PsH4uuRT2w8,30
ZJMGS7l0wT8,5.0,PsH4uuRT2w8,34,ZJMGS7l0wT8,0.6373874992221911,PsH4uuRT2w8,0.30253551837318404,LHt7msyiLsY,1052168.485580645,PsH4uuRT2w8,0.4,PsH4uuRT2w8,0.7237356901168823,G2wBnjtmmg8,1.0,DlB4hFTAxOo,2,PsH4uuRT2w8,0.2662241537791114,PsH4uuRT2w8,0.31481963933514184,PsH4uuRT2w8,"[0.002671276844070962, 0.0522858309990663, 0.2501944249922191]",PsH4uuRT2w8,0.6,PsH4uuRT2w8,"[0.0, 0.05091036414565826, 0.26234827264239025]",PsH4uuRT2w8,4,sPneQzqhh4g,5
P0N5JcFqx4M,20.0,sPneQzqhh4g,83,P0N5JcFqx4M,0.9182958340544896,sPneQzqhh4g,0.6425652210347098,vX6FXRgcKQc,1018669.5427622951,sPneQzqhh4g,0.4,sPneQzqhh4g,0.7249027550220489,QNh18bRw_0k,1.0,PsH4uuRT2w8,21,sPneQzqhh4g,0.5794561073451537,sPneQzqhh4g,0.6928362198780472,sPneQzqhh4g,"[0.6478773284313729, 0.6479401348039214, 0.6480556985294115]",sPneQzqhh4g,0.8,sPneQzqhh4g,"[0.6503137254901962, 0.6503627450980393, 0.6506470588235294]",sPneQzqhh4g,5,G2wBnjtmmg8,23
6PKAv5OPf40,10.0,G2wBnjtmmg8,44,6PKAv5OPf40,0.9182958340544896,G2wBnjtmmg8,0.09064380435937636,tSjkuMtiI28,734157.2991333333,G2wBnjtmmg8,0.4,G2wBnjtmmg8,0.7224079668521881,MX145Tu4MHY,1.0,sPneQzqhh4g,9,G2wBnjtmmg8,0.05275385259423988,G2wBnjtmmg8,0.08997629349561798,G2wBnjtmmg8,"[0.0, 0.0, 0.0]",G2wBnjtmmg8,0.4,G2wBnjtmmg8,"[0.0, 0.0, 0.0]",G2wBnjtmmg8,2,ue5tV4SDldU,5
aKtMe8nFFq8,8.0,TL4LEfRr1TI,115,aKtMe8nFFq8,0.8366407419411673,TL4LEfRr1TI,0.35879019098334136,zftD8q7SnJg,1020338.212318182,TL4LEfRr1TI,0.6,TL4LEfRr1TI,0.7251316617275106,i6O98o2FRHw,1.0,G2wBnjtmmg8,2,TL4LEfRr1TI,0.3118488518594789,TL4LEfRr1TI,0.3623103734197637,TL4LEfRr1TI,"[0.12519856926510375, 0.11668885643688352, 0.12020821946664827]",TL4LEfRr1TI,0.6,TL4LEfRr1TI,"[0.12337227573956411, 0.11600737856118058, 0.12016123522579764]",TL4LEfRr1TI,3,QNh18bRw_0k,5
uw08j-yOfcE,85.0,QNh18bRw_0k,31,uw08j-yOfcE,0.6305062394675903,QNh18bRw_0k,0.2879742825018408,uM0XeDzbULs,991149.1093333331,QNh18bRw_0k,0.6,QNh18bRw_0k,0.7234439094861348,9IZ4CN-CTCM,0.0,ue5tV4SDldU,21,QNh18bRw_0k,0.2886346527597584,QNh18bRw_0k,0.2970241990720568,QNh18bRw_0k,"[0.41772766884531587, 0.41836966230936823, 0.4179213507625272]",QNh18bRw_0k,0.8,QNh18bRw_0k,"[0.4191111111111111, 0.4213071895424837, 0.4211764705882353]",QNh18bRw_0k,5,MX145Tu4MHY,6
FsW2QM2oLy4,24.0,MX145Tu4MHY,110,FsW2QM2oLy4,0.8238116333123173,MX145Tu4MHY,0.4710455517990108,rSTGOyDFPrU,1901536.975677419,MX145Tu4MHY,0.8,MX145Tu4MHY,0.7248004015002932,5AuLkMBAFZg,1.0,QNh18bRw_0k,8,MX145Tu4MHY,0.3645028006821846,MX145Tu4MHY,0.4545636930242439,MX145Tu4MHY,"[0.0, 0.0, 0.0]",MX145Tu4MHY,0.6,MX145Tu4MHY,"[0.0, 0.0, 0.0]",MX145Tu4MHY,5,i6O98o2FRHw,15
785YQKmgiTo,8.0,i6O98o2FRHw,116,785YQKmgiTo,0.8366407419411673,i6O98o2FRHw,0.3752885015862955,9go38MgZ4w8,1020958.4039056605,i6O98o2FRHw,0.4,i6O98o2FRHw,0.7249999778611319,-rMrkyMn-sY,1.0,MX145Tu4MHY,6,i6O98o2FRHw,0.38299661145532654,i6O98o2FRHw,0.3609069389090743,i6O98o2FRHw,"[0.3956630125633345, 0.3989249119436438, 0.40080213689702543]",i6O98o2FRHw,0.4,i6O98o2FRHw,"[0.35279425891394023, 0.36952025767079166, 0.37880996779115106]",i6O98o2FRHw,4,9IZ4CN-CTCM,6
cXw2gm4yPEE,8.0,9IZ4CN-CTCM,90,cXw2gm4yPEE,0.6420642892306891,9IZ4CN-CTCM,0.13951796933793595,intua_p4kE0,805078.679534,9IZ4CN-CTCM,1.0,9IZ4CN-CTCM,0.723241470919715,iZIHSn1ILxs,1.0,i6O98o2FRHw,16,9IZ4CN-CTCM,0.07977474580046208,9IZ4CN-CTCM,0.16901399099344233,9IZ4CN-CTCM,"[0.0, 0.0, 0.0]",9IZ4CN-CTCM,0.8,9IZ4CN-CTCM,"[0.0, 0.0, 0.0]",9IZ4CN-CTCM,1,5AuLkMBAFZg,15
xtz2mdX0aEE,10.0,5AuLkMBAFZg,120,xtz2mdX0aEE,0.6500224216483541,5AuLkMBAFZg,0.3215372094393819,hro4AdTYiTA,1130946.4006388886,5AuLkMBAFZg,0.0,5AuLkMBAFZg,0.7241874511043229,w4kHmbZTvyI,1.0,9IZ4CN-CTCM,10,5AuLkMBAFZg,0.30209951317856515,5AuLkMBAFZg,0.3269214648654408,5AuLkMBAFZg,"[0.191214361789284, 0.19252058413894801, 0.1939969300162033]",5AuLkMBAFZg,0.2,5AuLkMBAFZg,"[0.17914140586596758, 0.17979135944071223, 0.18065432301054127]",5AuLkMBAFZg,5,Ejf8lk9nYH4,6
pV7-cwgRjL0,22.0,-rMrkyMn-sY,40,pV7-cwgRjL0,0.9575534837147482,-rMrkyMn-sY,0.7426040075133146,FJurUjmDs_k,1377966.3544766668,-rMrkyMn-sY,0.4,-rMrkyMn-sY,0.7273505538702011,e8iwjnN8j3A,0.0,5AuLkMBAFZg,33,-rMrkyMn-sY,0.6300792486576801,-rMrkyMn-sY,0.7200628313948653,-rMrkyMn-sY,"[0.0, 0.0, 0.0]",-rMrkyMn-sY,1.0,-rMrkyMn-sY,"[0.0, 0.0, 0.0]",-rMrkyMn-sY,5,iZIHSn1ILxs,6
yQUN7QAnMp0,8.0,iZIHSn1ILxs,63,yQUN7QAnMp0,0.8366407419411673,iZIHSn1ILxs,0.38087845249137625,15nAJorLmHY,776234.8694249998,iZIHSn1ILxs,1.0,iZIHSn1ILxs,0.7254964819079951,qbBLDBohgrY,1.0,Ejf8lk9nYH4,9,iZIHSn1ILxs,0.3318884870034586,iZIHSn1ILxs,0.4276589686554401,iZIHSn1ILxs,"[0.2118437543457099, 0.28566713165762775, 0.3012468928174107]",iZIHSn1ILxs,0.8,iZIHSn1ILxs,"[0.17487484355444305, 0.23876720901126408, 0.25443262411347517]",iZIHSn1ILxs,5,w4kHmbZTvyI,6
lxlmA8Pr_iY,13.0,w4kHmbZTvyI,32,lxlmA8Pr_iY,0.9011701959974224,w4kHmbZTvyI,0.20139545294421315,ZJMGS7l0wT8,480207.49301548384,w4kHmbZTvyI,0.6,w4kHmbZTvyI,0.7228830382227898,gm_n76Dsl0c,1.0,iZIHSn1ILxs,8,w4kHmbZTvyI,0.17888913996405098,w4kHmbZTvyI,0.18791381681604924,w4kHmbZTvyI,"[0.2316092218137255, 0.23721277573529417, 0.2397174223856209]",w4kHmbZTvyI,0.6,w4kHmbZTvyI,"[0.23840686274509806, 0.24392156862745099, 0.2469607843137255]",w4kHmbZTvyI,2,-S0Azz85mlA,6
zR_-YIPP49U,14.0,-S0Azz85mlA,30,zR_-YIPP49U,0.9932338197397066,e8iwjnN8j3A,0.2866764382217785,P0N5JcFqx4M,873169.7895799999,e8iwjnN8j3A,0.2,-S0Azz85mlA,0.7264261345068613,BhHONpmlxPc,1.0,w4kHmbZTvyI,2,e8iwjnN8j3A,0.17087832684146542,e8iwjnN8j3A,0.3485359207913491,e8iwjnN8j3A,"[0.0032997484031491394, 0.003307848707664885, 0.0033172951945929898]",e8iwjnN8j3A,0.6,e8iwjnN8j3A,"[0.0020944741532976825, 0.0020944741532976825, 0.0021167557932263814]",e8iwjnN8j3A,3,gm_n76Dsl0c,6
_uQOchrK7NA,28.0,gm_n76Dsl0c,30,_uQOchrK7NA,0.953197172543056,-S0Azz85mlA,0.433601908773056,7XZKEK92JT4,142035.82034333333,-S0Azz85mlA,0.6,gm_n76Dsl0c,0.7245167162683275,g7xSwrdkOMM,1.0,-S0Azz85mlA,3,-S0Azz85mlA,0.550859824306123,-S0Azz85mlA,0.4124420639272168,-S0Azz85mlA,"[0.698535993100944, 0.698727487291213, 0.699121051198257]",-S0Azz85mlA,0.0,-S0Azz85mlA,"[0.7031808278867102, 0.7031590413943355, 0.702962962962963]",-S0Azz85mlA,3,BhHONpmlxPc,1
MX9qu69-NiM,87.0,BhHONpmlxPc,31,MX9qu69-NiM,0.26014536394771426,gm_n76Dsl0c,0.3741008963886336,Tb-OVhtKsyA,1141074.2072000005,gm_n76Dsl0c,1.0,BhHONpmlxPc,0.7237514351543627,dNjIpip6e3A,1.0,gm_n76Dsl0c,1,gm_n76Dsl0c,0.32879486119593104,gm_n76Dsl0c,0.4234657514993975,gm_n76Dsl0c,"[0.31779003267973843, 0.3805247367465505, 0.36759808460421195]",gm_n76Dsl0c,0.6,gm_n76Dsl0c,"[0.3159694989106754, 0.383921568627451, 0.37191721132897604]",gm_n76Dsl0c,5,g7xSwrdkOMM,21
QalnisJfHEw,30.0,g7xSwrdkOMM,30,QalnisJfHEw,1.0,BhHONpmlxPc,0.30166422233268997,Ypcm9B6o7pA,592026.1268741747,BhHONpmlxPc,0.8,g7xSwrdkOMM,0.7254804531733196,B-XHdkCsc5U,0.0,BhHONpmlxPc,19,BhHONpmlxPc,0.23014450548469684,BhHONpmlxPc,0.3061501539781466,BhHONpmlxPc,"[0.004844727784730915, 0.004446704213600333, 0.0387257074815742]",BhHONpmlxPc,0.8,BhHONpmlxPc,"[0.002190237797246558, 0.0006675010429703797, 0.03700458906967042]",BhHONpmlxPc,5,dNjIpip6e3A,1
D0cyg74awpI,12.0,dNjIpip6e3A,40,D0cyg74awpI,0.9709505944546686,g7xSwrdkOMM,0.4437249926734093,bTwWShYxcoU,400523.90425666666,g7xSwrdkOMM,0.2,dNjIpip6e3A,0.7249103557495844,-wXjs6DXoeY,1.0,g7xSwrdkOMM,19,g7xSwrdkOMM,0.34415803190863303,g7xSwrdkOMM,0.4135263909732311,g7xSwrdkOMM,"[3.4858387799564267e-06, 0.0, 0.0]",g7xSwrdkOMM,0.6,g7xSwrdkOMM,"[0.0, 0.0, 0.0]",g7xSwrdkOMM,4,B-XHdkCsc5U,6
L90XMfzURqg,4.0,B-XHdkCsc5U,90,L90XMfzURqg,0.5665095065529053,dNjIpip6e3A,0.42112499224800864,6PKAv5OPf40,977464.94145,dNjIpip6e3A,0.2,B-XHdkCsc5U,0.7247164668860259,QXAYIYdvnys,1.0,dNjIpip6e3A,9,dNjIpip6e3A,0.3549469220332839,dNjIpip6e3A,0.3725715519733244,dNjIpip6e3A,"[0.0, 0.0, 0.0]",dNjIpip6e3A,0.6,dNjIpip6e3A,"[0.0, 0.0, 0.0]",dNjIpip6e3A,3,-wXjs6DXoeY,6
vVaSYcRnxRQ,9.0,-wXjs6DXoeY,80,vVaSYcRnxRQ,0.9544340029249648,B-XHdkCsc5U,0.5761367893932751,aKtMe8nFFq8,788587.7566,B-XHdkCsc5U,0.8,-wXjs6DXoeY,0.7252120727147812,Ws-yd9YPfdE,1.0,B-XHdkCsc5U,10,B-XHdkCsc5U,0.5593839456966997,B-XHdkCsc5U,0.5364772780684588,B-XHdkCsc5U,"[0.5091926591624303, 0.5102534797869763, 0.5131459089808764]",B-XHdkCsc5U,0.4,B-XHdkCsc5U,"[0.5183297022512708, 0.5196949891067538, 0.524400871459695]",B-XHdkCsc5U,1,QXAYIYdvnys,5
TR7JApjgIGw,3.0,QXAYIYdvnys,15,TR7JApjgIGw,0.4689955935892812,-wXjs6DXoeY,0.3975697258234017,iSsRWJdTlFw,297267.5710584416,-wXjs6DXoeY,1.0,QXAYIYdvnys,0.7250935658812523,7GKuZu9xkj0,1.0,-wXjs6DXoeY,23,-wXjs6DXoeY,0.4001758505056304,-wXjs6DXoeY,0.392054573395385,-wXjs6DXoeY,"[0.5349131035485746, 0.5156686300174516, 0.5036123729596548]",-wXjs6DXoeY,0.8,-wXjs6DXoeY,"[0.5636176983882558, 0.5334873216302227, 0.511487526947952]",-wXjs6DXoeY,5,hFYCjZvv8y4,14
uhhcaN03tXs,66.0,hFYCjZvv8y4,62,uhhcaN03tXs,0.8876297058429738,QXAYIYdvnys,0.3318402088689074,uVqSmJW7JFg,441789.95933333336,QXAYIYdvnys,0.0,hFYCjZvv8y4,0.7251168854774968,r3idOGxm3FA,0.0,QXAYIYdvnys,1,QXAYIYdvnys,0.2858426063187449,QXAYIYdvnys,0.2394617920965969,QXAYIYdvnys,"[0.2679450344952796, 0.2649631218228033, 0.2618742057007989]",QXAYIYdvnys,0.2,QXAYIYdvnys,"[0.23959694989106753, 0.2318082788671024, 0.22445533769063183]",QXAYIYdvnys,4,7GKuZu9xkj0,10
AR-Iz1fts5M,15.0,7GKuZu9xkj0,30,AR-Iz1fts5M,0.6457523329916602,hFYCjZvv8y4,0.4726937846233173,uw08j-yOfcE,1483382.3420297028,hFYCjZvv8y4,0.4,7GKuZu9xkj0,0.7255594929059347,3yieFIhdeJQ,1.0,F0WaSy5jNLg,21,hFYCjZvv8y4,0.3373933495507639,hFYCjZvv8y4,0.5124634773026031,hFYCjZvv8y4,"[0.0, 0.0, 0.0]",hFYCjZvv8y4,0.2,hFYCjZvv8y4,"[0.0, 0.0, 0.0]",hFYCjZvv8y4,5,r3idOGxm3FA,1
F9_Vz_xVjAU,34.0,r3idOGxm3FA,31,F9_Vz_xVjAU,0.9952525494396792,7GKuZu9xkj0,0.5523187263205533,FsW2QM2oLy4,812818.2530441933,7GKuZu9xkj0,0.2,r3idOGxm3FA,0.7235373295843601,lfABnAS5i9Q,1.0,hFYCjZvv8y4,7,7GKuZu9xkj0,0.490566334348402,7GKuZu9xkj0,0.5720854913343216,7GKuZu9xkj0,"[0.007154302832244006, 0.006335566448801743, 0.005818464052287582]",7GKuZu9xkj0,0.2,7GKuZu9xkj0,"[0.00392156862745098, 0.00334640522875817, 0.0030849673202614377]",7GKuZu9xkj0,5,3yieFIhdeJQ,5
XkaWyrm8EQg,15.0,3yieFIhdeJQ,30,XkaWyrm8EQg,1.0,r3idOGxm3FA,0.2893242717488406,785YQKmgiTo,726282.0471166669,r3idOGxm3FA,0.6,3yieFIhdeJQ,0.7257903615633646,X6pyDwa3nGw,1.0,7GKuZu9xkj0,22,r3idOGxm3FA,0.2389469121376139,r3idOGxm3FA,0.33053809680213275,r3idOGxm3FA,"[0.0022702869026398438, 0.0019387148798913501, 0.002061953569306511]",r3idOGxm3FA,0.8,r3idOGxm3FA,"[0.0008148714031066973, 0.00020371785077667433, 0.000789406671759613]",r3idOGxm3FA,5,lfABnAS5i9Q,6
gugjMmXQrDo,36.0,lfABnAS5i9Q,41,gugjMmXQrDo,0.9601186626422924,n1ClxdeiIUg,0.9331723054832688,hQmqe4Esq_A,929918.9346544895,n1ClxdeiIUg,0.0,lfABnAS5i9Q,0.7233859896659851,rBey5TrvoDw,1.0,r3idOGxm3FA,12,n1ClxdeiIUg,0.9401052204913694,n1ClxdeiIUg,0.8902896054257807,n1ClxdeiIUg,"[0.9470852396514161, 0.9471518700072623, 0.9471675744371822]",n1ClxdeiIUg,1.0,n1ClxdeiIUg,"[0.9476252723311547, 0.9476252723311547, 0.9476688453159042]",n1ClxdeiIUg,1,BntPVmeo7ro,9
