Video,Shot_Boundary,Video,Duration,Video,Shot_Boundary,Video.1,Duration,Video.2,Entropy,Video.3,Average_Intensities_60,Video.4,Optical_Flow,Video.5,Funny,Video.6,Average_Memorability,Video.7,Language,Video.8,Topics,Video.9,Average_Intensities,Video.10,Average_Intensities_30,Video.11,Average_Hue,Video.12,Exciting,Video.13,Median_Hue,Video.14,Effectiveness,Video.15,Sentiments,Video,Entropy,Video,Average_Intensities_60,Video,Optical_Flow,Video,Funny,Video,Average_Memorability,Video,Language,Video,Topics,Video,Average_Intensities,Video,Average_Intensities_30,Video,Average_Hue,Video,Exciting,Video,Median_Hue,Video,Effectiveness,Video,Sentiments,NAME ,KEY,BPM,A,B,C,D,E,F,G,Major/Minor,Sharp/Flat
_E3VBQa-nAU,19,_8hk6XVNr_Y,31,_E3VBQa-nAU,19,_8hk6XVNr_Y,31,_E3VBQa-nAU,0.998195879,_8hk6XVNr_Y,0.87033204,_8hk6XVNr_Y,269854.869,_8hk6XVNr_Y,0,_8hk6XVNr_Y,0.725767612,_9rL1pPXblQ,1,_8hk6XVNr_Y,23,_8hk6XVNr_Y,0.849801338,_8hk6XVNr_Y,0.912815212,_8hk6XVNr_Y,"[0.814764537155441, 0.814380639030974, 0.8148464141091228]",_8hk6XVNr_Y,0.4,_8hk6XVNr_Y,"[0.8175404944586531, 0.817924126172208, 0.818542199488491]",_8hk6XVNr_Y,3,_8hk6XVNr_Y,25,_E3VBQa-nAU,0.998195879,_8hk6XVNr_Y,0.87033204,_8hk6XVNr_Y,269854.869,_8hk6XVNr_Y,0,_8hk6XVNr_Y,0.725767612,_9rL1pPXblQ,1,_8hk6XVNr_Y,23,_8hk6XVNr_Y,0.849801338,_8hk6XVNr_Y,0.912815212,_8hk6XVNr_Y,"[0.814764537155441, 0.814380639030974, 0.8148464141091228]",_8hk6XVNr_Y,0.4,_8hk6XVNr_Y,"[0.8175404944586531, 0.817924126172208, 0.818542199488491]",_8hk6XVNr_Y,3,_8hk6XVNr_Y,25,_G-PTQ2OWe4,A minor,75,1,0,0,0,0,0,0,0,0
_F0XLsyU1rY,42,_8n3VwG1xWA,60,_F0XLsyU1rY,42,_8n3VwG1xWA,60,_F0XLsyU1rY,0.99030702,_8n3VwG1xWA,0.562963035,_8n3VwG1xWA,974378.8844,_8n3VwG1xWA,0.4,_8n3VwG1xWA,0.724853786,_anNRzbAQQ8,1,_8n3VwG1xWA,21,_8n3VwG1xWA,0.497361898,_8n3VwG1xWA,0.587736009,_8n3VwG1xWA,"[0.4368310412127812, 0.4367433278867104, 0.4375464551561363]",_8n3VwG1xWA,0.6,_8n3VwG1xWA,"[0.4468082788671024, 0.44638344226579524, 0.4472984749455338]",_8n3VwG1xWA,4,_8n3VwG1xWA,5,_F0XLsyU1rY,0.99030702,_8n3VwG1xWA,0.562963035,_8n3VwG1xWA,974378.8844,_8n3VwG1xWA,0.4,_8n3VwG1xWA,0.724853786,_anNRzbAQQ8,1,_8n3VwG1xWA,21,_8n3VwG1xWA,0.497361898,_8n3VwG1xWA,0.587736009,_8n3VwG1xWA,"[0.4368310412127812, 0.4367433278867104, 0.4375464551561363]",_8n3VwG1xWA,0.6,_8n3VwG1xWA,"[0.4468082788671024, 0.44638344226579524, 0.4472984749455338]",_8n3VwG1xWA,4,_8n3VwG1xWA,5,_GBSwxyPuaE,F minor,172,0,0,0,0,0,1,0,0,0
_G-PTQ2OWe4,26,_9rL1pPXblQ,24,_G-PTQ2OWe4,26,_9rL1pPXblQ,24,_G-PTQ2OWe4,0.566509507,_9rL1pPXblQ,0.545260366,_9rL1pPXblQ,167463.8908,_9rL1pPXblQ,0,_9rL1pPXblQ,0.726508359,_BZsIY6PUPU,1,_9rL1pPXblQ,26,_9rL1pPXblQ,0.509741939,_9rL1pPXblQ,0.615287498,_9rL1pPXblQ,"[0.5316139073000091, 0.5235597901132285, 0.5326955606186138]",_9rL1pPXblQ,0.4,_9rL1pPXblQ,"[0.5023198011599006, 0.4987296326981497, 0.50005523336095]",_9rL1pPXblQ,5,_9rL1pPXblQ,8,_G-PTQ2OWe4,0.566509507,_9rL1pPXblQ,0.545260366,_9rL1pPXblQ,167463.8908,_9rL1pPXblQ,0,_9rL1pPXblQ,0.726508359,_BZsIY6PUPU,1,_9rL1pPXblQ,26,_9rL1pPXblQ,0.509741939,_9rL1pPXblQ,0.615287498,_9rL1pPXblQ,"[0.5316139073000091, 0.5235597901132285, 0.5326955606186138]",_9rL1pPXblQ,0.4,_9rL1pPXblQ,"[0.5023198011599006, 0.4987296326981497, 0.50005523336095]",_9rL1pPXblQ,5,_9rL1pPXblQ,8,_gXnfGIc1Tk,D major,118,0,0,0,1,0,0,0,1,0
_GBSwxyPuaE,35,_anNRzbAQQ8,31,_GBSwxyPuaE,35,_anNRzbAQQ8,31,_GBSwxyPuaE,0.940285959,_anNRzbAQQ8,0.369144182,_anNRzbAQQ8,1471181.827,_anNRzbAQQ8,0,_anNRzbAQQ8,0.724748135,_E3VBQa-nAU,1,_anNRzbAQQ8,37,_anNRzbAQQ8,0.384041653,_anNRzbAQQ8,0.386696445,_anNRzbAQQ8,"[0.5434656774896339, 0.5410536140979689, 0.5356706374305996]",_anNRzbAQQ8,0.6,_anNRzbAQQ8,"[0.5868859371705671, 0.5906810035842294, 0.589921990301497]",_anNRzbAQQ8,4,_anNRzbAQQ8,21,_GBSwxyPuaE,0.940285959,_anNRzbAQQ8,0.369144182,_anNRzbAQQ8,1471181.827,_anNRzbAQQ8,0,_anNRzbAQQ8,0.724748135,_E3VBQa-nAU,1,_anNRzbAQQ8,37,_anNRzbAQQ8,0.384041653,_anNRzbAQQ8,0.386696445,_anNRzbAQQ8,"[0.5434656774896339, 0.5410536140979689, 0.5356706374305996]",_anNRzbAQQ8,0.6,_anNRzbAQQ8,"[0.5868859371705671, 0.5906810035842294, 0.589921990301497]",_anNRzbAQQ8,4,_anNRzbAQQ8,21,_HckRLrBXQM,E major,150,0,0,0,0,1,0,0,1,0
_Gpx07V3GFM,29,_AQl4lUrov0,15,_Gpx07V3GFM,29,_AQl4lUrov0,15,_Gpx07V3GFM,0.848548178,_AQl4lUrov0,0.212345768,_AQl4lUrov0,751882.8537,_AQl4lUrov0,0.2,_AQl4lUrov0,0.724229124,_F0XLsyU1rY,1,_AQl4lUrov0,17,_AQl4lUrov0,0.222896853,_AQl4lUrov0,0.246600217,_AQl4lUrov0,"[0.24456545025417573, 0.24846151053013804, 0.25071741103848955]",_AQl4lUrov0,0,_AQl4lUrov0,"[0.1812636165577342, 0.1872331154684096, 0.19172113289760348]",_AQl4lUrov0,3,_AQl4lUrov0,25,_Gpx07V3GFM,0.848548178,_AQl4lUrov0,0.212345768,_AQl4lUrov0,751882.8537,_AQl4lUrov0,0.2,_AQl4lUrov0,0.724229124,_F0XLsyU1rY,1,_AQl4lUrov0,17,_AQl4lUrov0,0.222896853,_AQl4lUrov0,0.246600217,_AQl4lUrov0,"[0.24456545025417573, 0.24846151053013804, 0.25071741103848955]",_AQl4lUrov0,0,_AQl4lUrov0,"[0.1812636165577342, 0.1872331154684096, 0.19172113289760348]",_AQl4lUrov0,3,_AQl4lUrov0,25,_hnOCUkbix0,C major,104,0,0,1,0,0,0,0,1,0
_gXnfGIc1Tk,26,_BZsIY6PUPU,77,_gXnfGIc1Tk,26,_BZsIY6PUPU,77,_gXnfGIc1Tk,0.987137774,_BZsIY6PUPU,0.347060746,_BZsIY6PUPU,1312882.269,_BZsIY6PUPU,1,_BZsIY6PUPU,0.72565466,_G-PTQ2OWe4,1,_BZsIY6PUPU,3,_BZsIY6PUPU,0.442291481,_BZsIY6PUPU,0.265871143,_BZsIY6PUPU,"[0.5175956193165674, 0.5174406791702185, 0.517103669366297]",_BZsIY6PUPU,1,_BZsIY6PUPU,"[0.5485294117647059, 0.5478687127024723, 0.5464727195225917]",_BZsIY6PUPU,5,_BZsIY6PUPU,6,_gXnfGIc1Tk,0.987137774,_BZsIY6PUPU,0.347060746,_BZsIY6PUPU,1312882.269,_BZsIY6PUPU,1,_BZsIY6PUPU,0.72565466,_G-PTQ2OWe4,1,_BZsIY6PUPU,3,_BZsIY6PUPU,0.442291481,_BZsIY6PUPU,0.265871143,_BZsIY6PUPU,"[0.5175956193165674, 0.5174406791702185, 0.517103669366297]",_BZsIY6PUPU,1,_BZsIY6PUPU,"[0.5485294117647059, 0.5478687127024723, 0.5464727195225917]",_BZsIY6PUPU,5,_BZsIY6PUPU,6,_I1UfeCH3SY,F minor,120,0,0,0,0,0,1,0,0,0
_HckRLrBXQM,40,_E3VBQa-nAU,40,_HckRLrBXQM,40,_E3VBQa-nAU,40,_HckRLrBXQM,0.929363626,_E3VBQa-nAU,0.528206905,_E3VBQa-nAU,1037974.795,_E3VBQa-nAU,0.4,_E3VBQa-nAU,0.725727582,_GBSwxyPuaE,1,_E3VBQa-nAU,10,_E3VBQa-nAU,0.511389185,_E3VBQa-nAU,0.481020525,_E3VBQa-nAU,"[0.4382257352941177, 0.4366404820261439, 0.434841748366013]",_E3VBQa-nAU,0.4,_E3VBQa-nAU,"[0.43986274509803924, 0.4361960784313726, 0.43519607843137254]",_E3VBQa-nAU,3,_E3VBQa-nAU,6,_HckRLrBXQM,0.929363626,_E3VBQa-nAU,0.528206905,_E3VBQa-nAU,1037974.795,_E3VBQa-nAU,0.4,_E3VBQa-nAU,0.725727582,_GBSwxyPuaE,1,_E3VBQa-nAU,10,_E3VBQa-nAU,0.511389185,_E3VBQa-nAU,0.481020525,_E3VBQa-nAU,"[0.4382257352941177, 0.4366404820261439, 0.434841748366013]",_E3VBQa-nAU,0.4,_E3VBQa-nAU,"[0.43986274509803924, 0.4361960784313726, 0.43519607843137254]",_E3VBQa-nAU,3,_E3VBQa-nAU,6,_IYJO-Ik7Pg,A minor,112,1,0,0,0,0,0,0,0,0
_hnOCUkbix0,9,_F0XLsyU1rY,95,_hnOCUkbix0,9,_F0XLsyU1rY,95,_hnOCUkbix0,0.591672779,_F0XLsyU1rY,0.285922089,_F0XLsyU1rY,1266398.537,_F0XLsyU1rY,0.6,_F0XLsyU1rY,0.725340839,_Gpx07V3GFM,0,_F0XLsyU1rY,27,_F0XLsyU1rY,0.242969412,_F0XLsyU1rY,0.362660885,_F0XLsyU1rY,"[0.18386025844107656, 0.18217047335673708, 0.18085509604132766]",_F0XLsyU1rY,0.8,_F0XLsyU1rY,"[0.18076033907012587, 0.18038359448582927, 0.18013528555527017]",_F0XLsyU1rY,2,_F0XLsyU1rY,10,_hnOCUkbix0,0.591672779,_F0XLsyU1rY,0.285922089,_F0XLsyU1rY,1266398.537,_F0XLsyU1rY,0.6,_F0XLsyU1rY,0.725340839,_Gpx07V3GFM,0,_F0XLsyU1rY,27,_F0XLsyU1rY,0.242969412,_F0XLsyU1rY,0.362660885,_F0XLsyU1rY,"[0.18386025844107656, 0.18217047335673708, 0.18085509604132766]",_F0XLsyU1rY,0.8,_F0XLsyU1rY,"[0.18076033907012587, 0.18038359448582927, 0.18013528555527017]",_F0XLsyU1rY,2,_F0XLsyU1rY,10,_KimnwIfhXc,G major,91,0,0,0,0,0,0,1,1,0
_I1UfeCH3SY,29,_G-PTQ2OWe4,30,_I1UfeCH3SY,29,_G-PTQ2OWe4,30,_I1UfeCH3SY,0.848548178,_G-PTQ2OWe4,0.422272639,_G-PTQ2OWe4,1430549.666,_G-PTQ2OWe4,0.8,_G-PTQ2OWe4,0.72539801,_gXnfGIc1Tk,1,_G-PTQ2OWe4,21,_G-PTQ2OWe4,0.378093149,_G-PTQ2OWe4,0.498717823,_G-PTQ2OWe4,"[0.2760610141492495, 0.27368742368742366, 0.2694903666594844]",_G-PTQ2OWe4,0.4,_G-PTQ2OWe4,"[0.25975005386770095, 0.2581771170006464, 0.2535875888817065]",_G-PTQ2OWe4,1,_G-PTQ2OWe4,6,_I1UfeCH3SY,0.848548178,_G-PTQ2OWe4,0.422272639,_G-PTQ2OWe4,1430549.666,_G-PTQ2OWe4,0.8,_G-PTQ2OWe4,0.72539801,_gXnfGIc1Tk,1,_G-PTQ2OWe4,21,_G-PTQ2OWe4,0.378093149,_G-PTQ2OWe4,0.498717823,_G-PTQ2OWe4,"[0.2760610141492495, 0.27368742368742366, 0.2694903666594844]",_G-PTQ2OWe4,0.4,_G-PTQ2OWe4,"[0.25975005386770095, 0.2581771170006464, 0.2535875888817065]",_G-PTQ2OWe4,1,_G-PTQ2OWe4,6,_Kmh4BbJPz8,A# major,120,1,0,0,0,0,0,0,1,1
_IYJO-Ik7Pg,14,_GBSwxyPuaE,98,_IYJO-Ik7Pg,14,_GBSwxyPuaE,98,_IYJO-Ik7Pg,0.996791632,_GBSwxyPuaE,0.357941285,_GBSwxyPuaE,1322341.809,_GBSwxyPuaE,0.4,_GBSwxyPuaE,0.724667139,_HckRLrBXQM,0,_GBSwxyPuaE,33,_GBSwxyPuaE,0.375181333,_GBSwxyPuaE,0.393955546,_GBSwxyPuaE,"[0.5574836082031682, 0.5641515730586021, 0.5614494710313505]",_GBSwxyPuaE,0.6,_GBSwxyPuaE,"[0.5910933865071452, 0.5982386174808907, 0.596061814556331]",_GBSwxyPuaE,5,_GBSwxyPuaE,3,_IYJO-Ik7Pg,0.996791632,_GBSwxyPuaE,0.357941285,_GBSwxyPuaE,1322341.809,_GBSwxyPuaE,0.4,_GBSwxyPuaE,0.724667139,_HckRLrBXQM,0,_GBSwxyPuaE,33,_GBSwxyPuaE,0.375181333,_GBSwxyPuaE,0.393955546,_GBSwxyPuaE,"[0.5574836082031682, 0.5641515730586021, 0.5614494710313505]",_GBSwxyPuaE,0.6,_GBSwxyPuaE,"[0.5910933865071452, 0.5982386174808907, 0.596061814556331]",_GBSwxyPuaE,5,_GBSwxyPuaE,3,_krbxXawoAU,G# minor,111,0,0,0,0,0,0,1,0,1
