NAME,KEY,CAMELOT,BPM
14 Months.mp3,F major,7B,107
030 Clear Skin Routine with Blemish Remedy.mp3,F major,7B,104
18 CARLTON DRAUGHT Beer Chase.mp3,A minor,8A,133
027 Guinness share with friends - funny beer commercial ad from Beer Planetmp4.mp3,F major,7B,120
60 Days In Official Teaser - One Terrifying Experiment - 2 Hour Premiere March 10 98c A&E.mp3,A major,11B,124
70s Mother Nature Chiffon Margarine Commercial.mp3,A# minor,3A,126
60 Seconds in the Red Chair Bryan Ransom.mp3,G# minor,1A,107
50 Cent - Vitamin Water - Welcome Dwight Howard Commercial 50 Cent Music.mp3,C# minor,12A,129
80s Anti-Drug Commercial - Your Brain On Drugs.mp3,C# major,3B,162
80s Anti-Drug Commercial - When I Grow Up.mp3,A major,11B,114
116 Innovators (30) The Toyota Effect Toyota.mp3,E minor,9A,123
1950s Kool Aid Commercial.mp3,D# major,5B,99
360 How Far Australia Expedia.mp3,C# minor,12A,136
1969 Dodge Charger Television Commercial.mp3,G# major,4B,149
1970 Chevrolet Camaro.mp3,A# major,6B,144
1978ish Dr Pepper Commercial - Be a Pepper.mp3,B major,1B,154
1960s Burgerking Commercial.mp3,F# major,2B,107
1980s Nabisco Oreo Christmas Commercial.mp3,C major,8B,123
1980s Operation Board Game Commercial.mp3,D# minor,2A,105
1980s Pantene Commercial Dont Hate Me.mp3,F major,7B,123
1982 Litwaks Arcade Commercial featuring the original Fix-It Felix Jr Game.mp3,A minor,8A,84
1969 Alka Seltzer Spicy Meatball Commercial.mp3,D# minor,2A,123
1980s Motorola DynaTAC Promotional Video.mp3,A# minor,3A,129
1987 Barbie Hawaiian Ice Party Commercial.mp3,F major,7B,137
1998 YooHoo Chocolate Drink Commercial.mp3,F major,7B,112
2004 The scream that doomed Howard Dean.mp3,B minor,10A,91
1993 Coca-Cola Polar Bear Commercial.mp3,F major,7B,96
2006 - Geico commercial - Caveman at the airport.mp3,F major,7B,123
1989 - Centel - first cell phone ad!.mp3,G major,9B,130
2010 New Era Authentic Collection Commercial New Era Cap.mp3,F minor,4A,88
2008 Chevy Malibu Bank Robbery Ad.mp3,F# minor,11A,172
2014 Chevy Commercial - Maddie.mp3,A major,11B,92
2012 Toyota Hilux Australia Unbreakable.mp3,D# major,5B,162
2014 Oklahoma Tourism Commercial (30 Seconds).mp3,G major,9B,155
2014 Oklahoma Tourism Commercial (60 Seconds).mp3,G major,9B,163
2014 Jamie Casino - 2 Minute Super Bowl Commercial - Casinos Law.mp3,D minor,7A,130
2015 Commercial - RealStrength Ad Dove Men+Care.mp3,F minor,4A,115
2015 MAMA STAR COUNTDOWN D-30 by BTS 151202 EP1.mp3,A# major,6B,178
2016 Dodge Journey Lease For 129month.mp3,A major,11B,172
2015 Oklahoma Tourism Commercial 2 (30 spot).mp3,F major,7B,146
2016 Kansas City Auto Show AutoFest Teaser.mp3,A minor,8A,97
2016 Victoria’s Secret Swim Special TV Commercial (15).mp3,F major,7B,128
2016 Honda Accord & Civic Specials at Brandon Honda.mp3,A major,11B,91
624787.mp3,E major,12B,129
A Cheesy Love Story - The Ad Doritos Dont Want You to See.mp3,C major,8B,108
A Guide To Taking Better Pictures.mp3,D major,10B,165
A Career at Massage Envy.mp3,D major,10B,118
A hair-raising message.mp3,A minor,8A,87
A Harvey Nichols Christmas 2013 -- Sorry I Spent It On Myself.mp3,D# minor,2A,123
A O Smith Blue Diamond Technology Water Heater in India.mp3,G# major,4B,95
A CIBC Aventura concierge creates a dream vacation.mp3,F major,7B,118
A sneak peak of David Beckham – The Interview.mp3,G minor,6A,124
A True Blackheart Kind of Love.mp3,A minor,8A,144
A very funny beer commercial.mp3,G major,9B,117
A&W Rootbeer Dumass.mp3,D minor,7A,122
AA Car Insurance.mp3,A minor,8A,185
Aamir Khan - Sikh saves a Tourist - Incredible India Commercial.mp3,D major,10B,84
Absurdly Sexist Coffee Ad (ca 1960s).mp3,A major,11B,143
Aamir Khan 1st Coca Cola Old Indian Doordarshan Ad.mp3,D minor,7A,130
Abuse isnt always physical.mp3,C minor,5A,136
Abuse in Relationships Would you Stop Yourself.mp3,D minor,7A,123
Adam and Clancy Separation Anxiety TBS.mp3,A# major,6B,128
A Miracle on Broadway THE COLOR PURPLE on Broadway.mp3,A major,11B,126
Add it to Your Highlight Reel Sun Valley Idaho - Winter 20152016 ‬.mp3,F major,7B,154
Adelanto Exclusivo Pequeña de 8 años dirigiendo un comercial de Nesquik.mp3,E major,12B,136
Active Kids Memories Ad with David Beckham -- Sainsburys.mp3,E major,12B,120
adidas Football - World Cup ad - The Quest (Full Length).mp3,B minor,10A,139
ADIDAS IS IN ALL - COMMERCIAL 2011.mp3,D minor,7A,110
adidas’ new training spot starring Connor McDavid - Sport Chek.mp3,A minor,8A,86
Admit Hillary Clinton.mp3,A minor,8A,91
Advance Auto Parts - Crescendo.mp3,G# minor,1A,128
After Hours The Art Institutes.mp3,F major,7B,118
Advert 1 Tango - Orangeman.mp3,D minor,7A,127
adidas MEGALIZER Les Twins Bboy Lamine Bboy Mounir @yakfilms.mp3,A minor,8A,88
Aguacates de México - Siempre en Temporada 15.mp3,D major,10B,118
Air Jordan I commercial - Not Meant To Fly.mp3,B major,1B,85
Ah Huat White Coffee TVC.mp3,G# major,4B,137
Airplane safety systemPlane with a device to save passengersСамолет с устройством для спасения.mp3,A major,11B,738
Airport Love.mp3,C minor,5A,109
Airtel 4G Indias Widest 4G Network Shimla.mp3,E minor,9A,143
Air New Zealand staff have nothing to hide.mp3,G major,9B,93
AirTel Advertisement - A R Rahman.mp3,E minor,9A,129
Alaska - Princess Cruises TV Commercial.mp3,F major,7B,93
Alberto Contador & Andy Schleck In It To Win It.mp3,G major,9B,115
Alaska Milk Philippine Commercial Classic 1974.mp3,E major,12B,123
Alberta Canada - (remember to breathe) - Reuben and the Dark.mp3,A major,11B,89
Alcohol Commercial Suddenly Turns Anti Drinking.mp3,E major,12B,91
Alfonso Ribeiro Breakin and Poppin.mp3,D# minor,2A,108
Alice’s Adventures in Wonderland performed by Scarlett Johansson – Official Trailer.mp3,D minor,7A,73
Alienware Steam Machine Teaser (030) AWSM.mp3,F minor,4A,111
All American Girl - Heroin Super Bowl Commercial.mp3,A major,11B,143
All Sweat Is Equal Manifesto (Full Version) – Sport Chek.mp3,A major,11B,129
Alfonso - Common Sense Media - Commercial.mp3,G major,9B,140
allen iverson A7 commercial.mp3,A minor,8A,112
All-New Ellen Shop Commercial.mp3,C# major,3B,130
Allstate TV Ad Back to Basics.mp3,D major,10B,118
Allstate mayhem commercial - Dean Winters as Teenage Girl in Pink Truck.mp3,E major,12B,84
Almarai Fresh Milk TVC What Love Tastes Like Perfect Breakfast.mp3,D major,10B,120
Alvin and the Chipmunks The Road Chip Official Trailer [HD] Fox Family Entertainment.mp3,A major,11B,114
Alton Browns Mustard Caddy.mp3,F minor,4A,118
Always Coca-Cola Classic TVC.mp3,D# major,5B,120
Always-Perfect Lighting with Stack.mp3,C major,8B,133
Alzacz Tv Spot.mp3,F minor,4A,83
Always Discreet Incontinence Products Double Money Back Guarantee (15-second spot).mp3,C major,8B,112
Amazonin Aur Dikhao Indias Largest Home & Kitchen Store.mp3,A# major,6B,117
Amazon Prime Air.mp3,C minor,5A,105
America Bernie Sanders (Web).mp3,A major,11B,185
America Bernie Sanders (New York).mp3,D major,10B,178
Ambi Pur vs Tadka Smelly to Smiley Video.mp3,D minor,7A,143
AmeriCarna Season 3 Premieres March 3 2016.mp3,C major,8B,129
AmeriCarna and Autogeek Promo.mp3,A minor,8A,140
America Bernie Sanders.mp3,D major,10B,178
AMG Christmas 2012.mp3,C major,8B,107
AMM Got Minister Ad.mp3,C major,8B,120
Amul Milk - Raise a glass to Indias woman power.mp3,A major,11B,118
Amul - The Taste of India (2014).mp3,D major,10B,100
Amul Mooch Part 2.mp3,E minor,9A,94
An Adventure for Everyone POV Disney Cruise Line.mp3,C minor,5A,125
An Advertisement On Racism.mp3,D major,10B,106
AnastasiaDate -Exciting Date- His Story.mp3,C# major,3B,78
AnastasiaDate- Exciting Date - Her Story.mp3,C# major,3B,111
An official apology to the people of Ireland from KFC SorryNotSorry.mp3,C major,8B,139
Andrew Wiggins Swingman.mp3,F major,7B,109
Anchor White Toothpaste Commerical ad.mp3,F# major,2B,104
Angry Orchard Explore the Orchard 2016.mp3,E minor,9A,130
Anlene Advertisement.mp3,G major,9B,99
Anthony Davis x Finish Line EpicFinish.mp3,A major,11B,129
Another awful Canadian commercial.mp3,C minor,5A,124
Anti Bullying Classroom.mp3,A# major,6B,99
Anti-Bullying ad.mp3,C major,8B,90
Anti-Bullying Animation.mp3,F major,7B,120
Anti-Drug Commercial Party all Night (Cocaine).mp3,C# major,3B,116
anti-domestic violence PSA commercial.mp3,F major,7B,91
Anti-Smoking Campaign Tar.mp3,G# major,4B,151
anti-smoking.mp3,G minor,6A,117
Anti-spousal Abuse Ad from 1990s (kid on stairs).mp3,F# minor,11A,122
Anuncio De Coca-Cola Con Osos Polares.mp3,C major,8B,117
Anuncio Smart Forfour 2016 Parking.mp3,A minor,8A,100
AOSmith Water Heaters with Colour Panel Options Eng Ad.mp3,G# major,4B,95
Anti-Bullying PSA The Price of Silence.mp3,F minor,4A,135
Anti-smoking Ad Smoking Causes Emphysema Lung Cancer.mp3,D minor,7A,140
Apple - Heres to the Crazy Ones (1997).mp3,C major,8B,116
Aperture Investment Opportunity 2 Bot Trust.mp3,C major,8B,90
Aperture Investment Opportunity 3 Turrets.mp3,C major,8B,136
Apple commercial - Jeff Goldblum.mp3,F major,7B,98
Apple 1984 Super Bowl Commercial Introducing Macintosh Computer (HD).mp3,G# major,4B,114
Apple Ad - Drunk Jeff Goldblum.mp3,G# major,4B,123
Apple Computer iMac G3 Colors Commercial.mp3,A# major,6B,108
Apple Vs Samsung - Funny Commercial Of The New Lumia 920.mp3,D major,10B,111
Are you a bloody idiot.mp3,G major,9B,101
Are you on TeamSuperCheese or TeamSourCream.mp3,D major,10B,108
Aprilia - Sperm Bank - advert.mp3,D# minor,2A,124
Are You A Fast Food Burger Expert.mp3,G major,9B,150
Arnott’s Shapes – Fun Has A New Taste!.mp3,G major,9B,185
Asheville NC Return Again.mp3,D minor,7A,114
Asian Paints - New TV Commercial- Har Ghar Kucch Kehta Hai-60sec.mp3,D# major,5B,122
Asics Running Commercial.mp3,F# minor,11A,126
Assassins Creed Identity -- Launch Trailer [INT].mp3,F minor,4A,140
Assassins Creed.mp3,F major,7B,136
Aston Martin DBS [Commercial Video].mp3,A# minor,3A,133
At Home With The Gronkowskis Episode 1 (Operation Mobile Strike) - Mobile Strategy Game.mp3,A minor,8A,110
AT&T 28 Days Celebrating Black History Month AT&T.mp3,G major,9B,86
Arranged Marriage Funny Commercial.mp3,D minor,7A,113
Atari - The Most Misleading Ad Ever.mp3,G minor,6A,102
Audi best ad ever.mp3,F major,7B,124
Armani Campaign - Housekeeping ft Cristiano Ronaldo.mp3,G major,9B,137
audi commercial.mp3,D major,10B,129
Austin & Ally Beauties & Bullies Sneak Peek.mp3,D minor,7A,89
Auto-Tune the Ads Sony Justin Timberlake Peyton Manning.mp3,A major,11B,124
Award winning funny Indian ad on eve teasing for AAJ TAK.mp3,E major,12B,147
Atari 2600 Commercial From The 80s.mp3,A# major,6B,96
AurDikhao - The Latest Amazonin Ad (2015).mp3,F major,7B,120
award winning funny commercial.mp3,C major,8B,123
award winning anti smoking commercial.mp3,G major,9B,135
Awesome Marriage Equality Ad in Ireland - One Of The Best Same Sex Marriage Ads Ive Seen.mp3,E major,12B,115
Award winningfunny Indian ad on no smoking for AAJ TAK.mp3,A minor,8A,136
Awwwww Kajol & Huggies at it again! Must watch.mp3,F major,7B,136
Axe Chocolate Man commercial.mp3,G# major,4B,92
AXE Commercial.mp3,A minor,8A,104
Ayds Diet Candy.mp3,D# minor,2A,94
Baby Alive commercial.mp3,D# minor,2A,87
Axe prostitute commercial.mp3,D major,10B,137
Babybel - Superqueso.mp3,C# minor,12A,94
Back to School Funny Staples Commercial.mp3,C# major,3B,117
BABY&ME EVIAN ADVERTCOMMERCIAL LOL.mp3,E major,12B,108
Bada 5 Star Bada bite.mp3,F minor,4A,107
Ball Park Jerky Vending Machine.mp3,A major,11B,110
BALVEER FAME DEV JOSHI NEW VIDEO.mp3,A minor,8A,105
Baileys Cream With Spirit (15 Commercial).mp3,D minor,7A,172
Ball Collector.mp3,D minor,7A,102
BAND-AID.mp3,F major,7B,111
BALZAC Commercial.mp3,C major,8B,185
Bangkok Airways 2014 TVC - Nothings Gonna Change Our Love For You [HD].mp3,C# major,3B,155
Banks Autos - Just Google Us!.mp3,B major,1B,110
Banglalink DESH 5 TV commercial.mp3,C major,8B,128
Banned Budlight 2006 superbowl commercial.mp3,G minor,6A,110
Banned Commercial - Funny Dog Suicide.mp3,D# major,5B,112
Banned Commercial - Blind Date farts in car ( funny ).mp3,A# minor,3A,118
Banned Commercial - Condoms.mp3,F minor,4A,112
Banned Commercials - Nike - Soccer vs ninjas.mp3,B minor,10A,145
Banned Condom Commercial In India.mp3,A minor,8A,151
Banned from TV - Rolling Rock Foul Ball.mp3,A major,11B,111
Banned Commercial Nike Football Ninjas.mp3,B minor,10A,145
banned commercial Smart car.mp3,D# major,5B,117
Banned Kinder Egg (Kinder Surprise) Advert Commercial Hes Back For Round 2! (Humpty Dumpty).mp3,F# minor,11A,123
Banned Lynx Jet Commercial.mp3,F minor,4A,111
Banned Pop Rocks commercial.mp3,F major,7B,114
Banned Tango TV Advert.mp3,G major,9B,153
Bar Refaeli playing tennis in underwear - underme Promo Commercial.mp3,D minor,7A,102
Banned Sprite Commercial.mp3,G minor,6A,152
Banned Or Expired Commercial - Breast Expansion In A Russian (Recommended).mp3,F# minor,11A,101
Barbara Bush for HRCs NYers for Marriage Equality.mp3,G major,9B,96
Barbie Glam Vacation House 2011 .mp3,F minor,4A,134
Barbie Glam Vacation House Commercial.mp3,F minor,4A,134
Barbie McDonalds Resturant commercial.mp3,F# major,2B,101
Barack Obama Ad - Mother.mp3,G# major,4B,97
BARBIE™ Sparkle Lights Mermaid swiecaca syrenka Dolls commercial.mp3,D major,10B,82
Barclay card advert- waterslide 2008 [HQ].mp3,D# major,5B,108
Batman The Animated Series Action Figures - New Commercial!.mp3,A# major,6B,136
Barbie Glam Vacation Jet.mp3,A minor,8A,125
Battle Camp Google Fire!.mp3,D minor,7A,110
Battle At F-Stop Ridge.mp3,F# minor,11A,136
Battle Camp iOS Fire!.mp3,A# major,6B,139
Battle Camp iOS Fire Lion!.mp3,D minor,7A,110
Battle Camp Level Up Your Monsters! iOSAndroidKindle.mp3,A minor,8A,125
BbCurl.mp3,C major,8B,85
Battlefield 1 Official Reveal Trailer.mp3,A major,11B,120
Be a Super Son with Vodafone SuperNet™ - Video call at airport ad.mp3,F major,7B,129
BBQs Best Pair - Carls Jr and Hardees Commerical - Sara Underwood Emily Ratajkowski.mp3,A# major,6B,80
Beans.mp3,D# major,5B,153
Beados Gems DR Commercial.mp3,A major,11B,98
Beautiful Commercial From Thailand Disconnect to connect VIDEO.mp3,B major,1B,151
Beauty Pressure.mp3,A# major,6B,172
Because happy hour.mp3,F major,7B,107
Bench Affordable Online Bookkeepers.mp3,G major,9B,89
Behind The Scenes with Putnam & Putnam.mp3,E minor,9A,129
Benfica Safety video Emirates Airline.mp3,A minor,8A,118
Berocca Log Rolling Lumberjacks advert - LogJam remix NOW available on iTUNES!!!.mp3,F major,7B,123
BEROCCA – RHYTHM MAKER.mp3,B minor,10A,84
best ad ever.mp3,B minor,10A,148
Best anti-smoking ad ever.mp3,F# major,2B,107
Best beer commercial ever.mp3,A major,11B,108
Best beer commercial ever - Thirsty For Beer (2010).mp3,E major,12B,101
Best Car Commercial Ever.mp3,A major,11B,153
BEST BEER Commercial (advertisement) EVER! PURE BLONDE PURE BLONDE!!.mp3,C# minor,12A,163
Best dog food commercial.mp3,C# major,3B,123
Best Fiends Forever - GrumpOut.mp3,E major,12B,153
Best Commercial EVER!!!.mp3,D minor,7A,99
Best Foods® Parmesan Crusted Chicken Commercial- Juicy Secret.mp3,D major,10B,113
Best Milk Commercial ever.mp3,D major,10B,97
BEST RACE EVER!.mp3,E minor,9A,137
Best radio commercial.mp3,F# major,2B,90
Best tv ad - Guinness dancing man.mp3,D minor,7A,88
betty white snickers commercial.mp3,C# minor,12A,163
Beyond Kombat The Doctor.mp3,A# major,6B,126
Best gym commercial ever!.mp3,F minor,4A,172
BIG Color.mp3,G minor,6A,140
Big Red Commercial.mp3,G major,9B,109
Big Sean x Finish Line EpicFinish.mp3,E major,12B,129
big shake commercial.mp3,F# major,2B,89
Big Blue Marble - intro.mp3,A major,11B,178
Big Top Cupcake Commercial - As Seen on TV Chat.mp3,E major,12B,108
BFF -- Stairs.mp3,E minor,9A,147
BILAL A New Breed of Hero Movie 2nd Teaser Trailer │Sep 2016.mp3,C major,8B,82
Binge Drinking Girls Night Out.mp3,A minor,8A,108
Birthday Chips Ahoy Commerical.mp3,A minor,8A,86
Bill Gates Explainer Energy equation.mp3,C minor,5A,136
Bithiri Sathi On Remarkable Anti Smoking Ads Campaign In India Teenmaar News V6 News.mp3,D major,10B,85
BJ & Keila Separation Anxiety TBS.mp3,A minor,8A,127
BJ and Keila Separation Anxiety TBS.mp3,A minor,8A,128
BlackBerry 10 Pre Super Bowl Ad Commercial 2013 Mashup.mp3,E major,12B,107
bizarre Loves Baby Soft 1975 TV commercial.mp3,C major,8B,117
Blast Processing! (Sega Genesis Commercial).mp3,A major,11B,84
Blind Double Date Fart Commercial (HQ).mp3,A# minor,3A,79
Blink Smart HD Home Monitoring Made Simple & Affordable.mp3,G minor,6A,71
Black and White People Furniture - Red House Commercial.mp3,A major,11B,92
Bloop Bloop Bloopers.mp3,C major,8B,120
Blue Whales Perfect Comic Timing! Big Blue Live EarthOnLocation Earth Unplugged.mp3,A minor,8A,136
Blue365 From Wellmark Every Morning.mp3,A major,11B,151
BMC Software Digital Enterprise Management (DEM).mp3,G major,9B,83
BMW HIDDEN CAMERA TEST DRIVE SURPRISE - SACHIN TENDULKAR.mp3,A major,11B,145
blowjob funny commercial banned.mp3,D# major,5B,90
BMW Commercial Its only a car.mp3,D minor,7A,93
Boddingtons Advert.mp3,E minor,9A,136
Bo Knows Commercial.mp3,A minor,8A,137
BMW M5 - Bullet - High Performance Art.mp3,A major,11B,130
Body Evolution - Model Before and After.mp3,A minor,8A,122
BODYARMOR THIS IS NOW.mp3,A minor,8A,140
Boost Mobile Commercial - Working Man (Sanyo Innuendo).mp3,C# major,3B,95
Bonds 12 Days of Christmas Full 60 Second Ad.mp3,D minor,7A,122
Bold Team puts their PinkStrong Gums to the test Watch them BringOutTheBold!.mp3,A minor,8A,163
Boss TVC – The Smartphone Network.mp3,F major,7B,136
Boost Mobile Commercial Ft Travis Barker.mp3,F major,7B,125
Bounty Paper Towels Commercial “He’s the Best.mp3,C major,8B,96
Bounty Paper Towels Commercial “Retirement”.mp3,A minor,8A,165
Boyfriend Went Vegan PETA.mp3,F major,7B,121
Boy Meets Girl on Oahu LetHawaiiHappen.mp3,G major,9B,144
BPI Sports 1MR Vortex 2016 TV Commercial.mp3,A minor,8A,115
Bratz Kidz Super Secret Make-Up Vanity Commercial.mp3,F major,7B,108
Bournvita Badam Booster - Tayyari Har Exam Ki.mp3,F major,7B,109
Brawndo The Thirst Mutilator Commercial 2.mp3,A# minor,3A,153
Brave Hillary Clinton.mp3,G minor,6A,109
Brawndo The Thirst Mutilator.mp3,D minor,7A,148
Break Bullying Not in the Break Room Not on the Playground.mp3,D# minor,2A,123
Break the Habit - Childhood Obesity Ad Austrailia.mp3,C major,8B,91
Brett Favre Wranglers Commercial.mp3,C major,8B,99
Brian Wilson SF Giants Taco Bell Commercial (Black Ops).mp3,G minor,6A,103
Brewed the Easy Way Ninkasi Craft Beer Budweiser Super Bowl Commercial Parody .mp3,A# major,6B,130
Bring On The Trumpets - The Natural Confectionery Company.mp3,D minor,7A,115
Brisk Eminem Super Bowl Commercial 2011.mp3,F major,7B,91
BRIGHT STAR Now on Broadway.mp3,C major,8B,90
Bringing Rugby Home Rugby World Cup Emirates Airline.mp3,F major,7B,99
Britannia - Milk Bikis.mp3,F# major,2B,145
